WheelID,WheelDiameter,WheelName,WheelStyle,WheelRunFlat
331477,19,19 M Double-spoke jet black wheels,M Double-spoke jet black wheels,False
230567,18, style 780 with all-season non run-flat,780 with all-season non run-flat,False
819686,20,20 BMWi Light Alloy Radial-spoke Jet Black Wheels style 516 with mixed tires,BMWi Light Alloy Radial-spoke Jet Black Wheels style 516 with mixed tires,False
607080,20, style 634 with all-season run-flat tires,634 with all-season run-flat tires,False
4567,18, style 597 with performance run-flat tires,597 with performance run-flat tires,True
735251,21,21 Y-spoke orbit grey wheels,Y-spoke orbit grey wheels,False
850214,18\xe2\x80\x9d,18\xe2\x80\x9d M Double-spoke ferric grey wheels,M Double-spoke ferric grey wheels,True
605412,18, style 511 with run-flat tires,511 with run-flat tires,False
340210,20, style 791M with all-season rft,791M with all-season rft,False
379133,20,20 BMW i Light Alloy W Spoke wheels style 470 with mixed tires,BMW i Light Alloy W Spoke wheels style 470 with mixed tires,True
698431,20, style 635 with all-season run-flat tires,635 with all-season run-flat tires,False
975758,19, style 754M with all-season runflat,754M with all-season runflat,False
344065,19,19 M Double-spoke bi-color jet black wheels,M Double-spoke bi-color jet black wheels,True
533893,18,18 M Double-spoke bi-color wheels,M Double-spoke bi-color wheels,True
938158,20, style 718M with performance run-flat tires,718M with performance run-flat tires,False
22897,19, style 799M with perf non run-flat tires,799M with perf non run-flat tires,False
977898,19, style 744 with performance run-flat tires,744 with performance run-flat tires,True
96013,20, style 430 with performance non run-flat tires,430 with performance non run-flat tires,True
940864,18,18 M Double-spoke orbit grey wheels,M Double-spoke orbit grey wheels,True
884990,19,19 V-spoke bi-color wheels,V-spoke bi-color wheels,False
360094,18,18 M V-spoke ferric grey wheels,M V-spoke ferric grey wheels,False
785886,19, style 569 with all-season run-flat tires,569 with all-season run-flat tires,True
129644,20, style 570M with run-flat tires,570M with run-flat tires,True
497320,18, style 715M with all-season run-flat tires,715M with all-season run-flat tires,False
650494,18, style 433M with performance non run-flat tires,433M with performance non run-flat tires,True
960488,19,19 M Double-spoke orbit grey wheels,M Double-spoke orbit grey wheels,False
94252,18, style 634 with all-season non run-flat tires,634 with all-season non run-flat tires,True
672695,19, style 570M with all-season non run-flat tires,570M with all-season non run-flat tires,True
7882,20, style 798M with perf non run-flat tires,798M with perf non run-flat tires,False
963731,19, style 705M with performance non run-flat tires,705M with performance non run-flat tires,False
989188,18, style 758i with runflat tires,758i with runflat tires,True
830471,19,style 753 with all-season runflat tires,753 with all-season runflat tires,True
990982,21,21 M Double-spoke Cerium Grey wheels,M Double-spoke Cerium Grey wheels,True
537379,18, style 343M with performance non run-flat tires,343M with performance non run-flat tires,False
998702,20, style 793i with all-season rft,793i with all-season rft,False
60866,19, style 566 with all-season non run-flat tires,566 with all-season non run-flat tires,True
939985,19, style 734 with all-season run-flat tires,734 with all-season run-flat tires,True
575807,18, style 791M with all-season run-flat tire,791M with all-season run-flat tire,True
447041,20,20 BMWi Light Alloy Radial-spoke Bi-color Wheels style 516 with mixed tires,BMWi Light Alloy Radial-spoke Bi-color Wheels style 516 with mixed tires,True
668003,20, style 798M with performance non run-flat tires,798M with performance non run-flat tires,False
932006,18, style 699M with perf non-rft tires,699M with perf non-rft tires,True
587159,20,20 M Double-spoke forged black wheels,M Double-spoke forged black wheels,False
339185,20, style 647M with all-season run-flat tires,647M with all-season run-flat tires,True
661576,19, style 698M with performance run-flat tires,698M with performance run-flat tires,True
454657,19,19 Y-spoke wheels,Y-spoke wheels,True
30081,20,20 M Double-spoke forged wheels,M Double-spoke forged wheels,True
358278,21,21 Y-Spoke black wheels,Y-Spoke black wheels,False
603646,20, style 513M with performance non run-flat tires,513M with performance non run-flat tires,False
694136,22,22 Y-spoke bi-color orbit grey wheels,Y-spoke bi-color orbit grey wheels,True
502591,20, style C15 with all-season non run-flat tires,C15 with all-season non run-flat tires,False
241695,18, style 752 withall-season runflat tires,752 withall-season runflat tires,True
6790,19,19 BMW i Turbine-spoke wheels,BMW i Turbine-spoke wheels,True
199210,20,20 Y-spoke bi-color orbit grey wheels,Y-spoke bi-color orbit grey wheels,True
