Model,Upholstry
330i Sedan,Canberra Beige Nappa Leather
sDrive35i,Terra Dakota Leather
M5 Competition,Black Extended Merino Leather
M40i,Cognac Vernasca Leather with contrast stitching
540i xDrive Sedan,Cognac Vernasca Leather with contrast stitching
640i xDrive Gran Turismo,Mocha Vernasca Leather with contrast stitching
330i xDrive Sports Wagon,Canberra Beige
xDrive40i,Black Vernasca Leather with contrast stitching
M3 Sedan,Leather combination Carbonstructure Anthracite
sDrive35i,Black Dakota Leather
xDrive50i,Nutmeg Extended Merino Leather
BMW i8 Coupe,Giga Amido Full Perforated Leather
M5 Competition,Aragon Brown Extended Merino Leather
xDrive30i,Black Vernasca Leather with contrast stitch
530i xDrive Sedan,Cognac Vernasca Leather with contrast stitching
xDrive50i,Criollo Brown Extended Merino Leather
M40i,Canberra Beige
xDrive50i,Amaro Brown Extended Merino Leather
xDrive50i,Black Extended Merino Leather
xDrive50i,Coral Red
530i xDrive Sedan,Canberra Beige Nappa Leather
xDrive50i,Black Vernasca Leather
xDrive50i,Smoke White Extended Merino Leather
ALPINA B7 xDrive,Canberra Beige Nappa Leather
M3 Sedan,Black Extended Merino Leather
xDrive40i,Ivory White Vernasca Leather
530i xDrive Sedan,Mocha Vernasca Leather with contrast stitching
xDrive40i,Coffee Vernasca Leather
sDrive35i,Canberra Beige Nappa Leather
xDrive40i,Black SensaTec
330i xDrive Sedan,Oyster Vernasca Leather with contrast stitching
ALPINA B7 xDrive,Ivory White and Black Nappa Leather
530e iPerformance,piping
530e xDrive iPerformance,Mocha Vernasca Leather with contrast stitching
330i xDrive Sports Wagon,Oyster Vernasca Leather with contrast stitching
640i xDrive Gran Turismo,Black SensaTec
540i xDrive Sedan,Canberra Beige Nappa Leather
M40i,Black SensaTec
xDrive50i,Ivory White Extended Merino leather
sDrive30i,Black SensaTec
M5 Competition,Silverstone Extended Merino Leather
